part_number,mlfb,productos,description
Q160,US2:Q160,MX:Q160,BREAKER QP 1P 60A 120V 10K
Q170,US2:Q170,MX:Q170,BREAKER 70A 1P 120V 10K QP10  KAIC
Q215,US2:Q215,MX:Q215,BREAKER QP 2P 15A 120/240V 10K
Q220,US2:Q220,MX:Q220,BREAKER 20A 2P 120/240V 10K  QP10 KAICSI
Q230,US2:Q230,MX:Q230,BREAKER QP 2P 30A 120/240V 10K
Q240,US2:Q240,MX:Q240,BREAKER QP 2P 40A 120/240V 10K
Q250,US2:Q250,MX:Q250,BREAKER QP 2P 50A 120/240V 10K
Q260,US2:Q260,MX:Q260,BREAKER QP 2P 60A 120/240V 10K
Q270,US2:Q270,MX:Q270,BREAKER QP 2P 70A 120/240V 10K
Q280,US2:Q280,MX:Q280,BREAKER QP 2P 80A 120/240V 10K
Q290,US2:Q290,MX:Q290,BREAKER QP 2P 90A 120/240V 10K
Q2100,US2:Q2100,MX:Q2100,BREAKER QP 2P 100A 120/240V 10K
Q2110,US2:Q2110,MX:Q2110,BREAKER 110A 2P 120/240V 10KA QP
Q2125,US2:Q2125,MX:Q2125,BREAKER QP 2P 125A 120/240V 10K
Q315,US2:Q315,MX:Q315,INTERRUPTOR QP 3P 15A 10KA
Q320,US2:Q320,MX:Q320,BREAKER QP 3P 20A 240V 10K
Q330,US2:Q330,MX:Q330,BREAKER QP 3P 30A 240V 10K
Q340,US2:Q340,MX:Q340,BREAKER QP 40A/3P 240V10KA HACR
Q350,US2:Q350,MX:Q350,BREAKER QP 3P 50A 240V 10K
Q360,US2:Q360,MX:Q360,BREAKER QP 3P 60A 240V 10K
Q370,US2:Q370,MX:Q370,BREAKER QP 3P 70A 240V 10K
Q380,US2:Q380,MX:Q380,BREAKER 80A 3P 240V 10KA QP
Q390,US2:Q390,MX:Q390,BREAKER QP 3P 90A 240V 10K
Q3100,US2:Q3100,MX:Q3100,BREAKER 100A 3P 240V 10KA QP
Q1515,US2:Q1515,MX:Q1515,BREAKER 15/15A 1P 120V 10K QT DUPLEX
Q1520,US2:Q1520,MX:Q1520,Q1520 BREAKER 15/20A 1P 120V 10K QT D
Q2020,US2:Q2020,MX:Q2020,BREAKER 20/20A 1P 120V 10K QT DUPLEX
Q2030,US2:Q2030,MX:Q2030,BREAKER 20/30A 1P 120V 10K QT DUPLEX
Q3015,US2:Q3015,MX:Q3015,DUPLEX QT 30A 15A 10KA 120V
Q3020,US2:Q3020,MX:Q3020,BREAKER 30/20A 1P 120V 10K QT DUPLEX
Q3030,US2:Q3030,MX:Q3030,BREAKER 30/30A 1P 120V 10K QT DUPLEX
Q21515CT,US2:Q21515CT,MX:Q21515CT,BREAKER (2)15A 1P/(1)15A 2P 10K QT
Q21520CT,US2:Q21520CT,MX:Q21520CT,BREAKER (2)15A 1P/(1)20A 2P 10K QT
Q21530CT,US2:Q21530CT,MX:Q21530CT,Q21530CTBREAKER (2)15A 1P/(1)30A 2P 10K
Q21540CT,US2:Q21540CT,MX:Q21540CT,Q21540CTBREAKER (2)15A 1P/(1)40A 2P 10K
Q21550CT,US2:Q21550CT,MX:Q21550CT,BREAKER (2)15A 1P/(1)50A 2P 10K QT
Q22020CT,US2:Q22020CT,MX:Q22020CT,BREAKER (2)20A 1P/(1)20A 2P 10K QT
Q22030CT,US2:Q22030CT,MX:Q22030CT,BREAKER (2)20A 1P/(1)30A 2P 10K
Q22040CT,US2:Q22040CT,MX:Q22040CT,BREAKER (2)20A 1P/(1)40A 2P 10K
Q22050CT,US2:Q22050CT,MX:Q22050CT,BREAKER (2)20A 1P/(1)50A 2P 10K
Q23030CT,US2:Q23030CT,MX:Q23030CT,BREAKER (2)30A 1P/(1)30A 2P 10K QT
Q21515CT2,US2:Q21515CT2,MX:Q21515CT2,BREAKER (2)15A 2P 120/240V 10K QT
Q21530CT2,US2:Q21530CT2,MX:Q21530CT2,BREAKER (1)15A 2P/(1)30A 2P 10K QT
Q22020CT2,US2:Q22020CT2,MX:Q22020CT2,BREAKER (2)20A 2P 120/240V 10K QT
Q22050CT2,US2:Q22050CT2,MX:Q22050CT2,BREAKER (1)20A 2P/(1)50A 2P 10K QT
Q23020CT2,US2:Q23020CT2,MX:Q23020CT2,BREAKER (1)30A 2P/(1)20A 2P 10
Q23030CT2,US2:Q23030CT2,MX:Q23030CT2,BREAKER (2)30A 2P 120/240V 10K QT
Q23050CT2,US2:Q23050CT2,MX:Q23050CT2,Q23050CT2BREAKER (1)30A 2P/(1)50A 2P 10
Q24020CT2,US2:Q24020CT2,MX:Q24020CT2,BREAKER (1)40A 2P/(1)20A 2P 10K QT
Q24030CT2,US2:Q24030CT2,MX:Q24030CT2,Q24030CT2BREAKER (1)40A 2P/(1)30A 2P 10
